fileName,operationId,asset_id,moderationResult,roblox_results,manual_result,amazon_transcribe,mutox_dataset,transcript,words captured,Unnamed: 10
chunk_10_20.mp3,10e24ec9-dc2a-4edb-a258-a64bd619e574,18314456291,Approved,,,Negative,NoHateSpeech,,,
chunk_10_28.mp3,bec7105e-f4fa-4a6f-ae96-56484583d63a,18314473595,Approved,,,Negative,NoHateSpeech,,,
chunk_10_35.mp3,8594aba4-7f3e-4ea7-bd02-2e628396d956,18314474476,Rejected,SexualContent,SexualContent,Negative,NoHateSpeech,"vulgar language and purposely erotic themes,  culture needs is for the world's obsession with sex to be mirrored in the message ",,Roblox does not permit sexual content in any form on the platform.
chunk_11_6.mp3,8ddde672-408f-4207-bcae-0a87103b2a73,18314496888,Approved,,,Negative,NoHateSpeech,,,
chunk_12_32.mp3,f7d417c9-0f4e-4ad7-8e74-6d85b8b58dcf,18314496513,Rejected,,Illegal and Regulated Content,Negative,NoHateSpeech,,,"Roblox does not permit illegal or regulated content in any form. This can include alcohol, drugs, tobacco products, or bomb or weapon making."
chunk_1_13.mp3,604405f2-fd54-4826-9426-403f1027bbc0,18314497343,Approved,,,Negative,NoHateSpeech,,,
chunk_1_2.mp3,d759bb59-3b1b-4e83-85c6-637a6eda6974,18314496639,Approved,,,Negative,NoHateSpeech,,,
chunk_3_2.mp3,ad29ea8d-a0e7-4cff-87cb-a6b11caa2305,18314496392,Approved,,,Negative,NoHateSpeech,,,
chunk_1_45.mp3,323191c0-dd98-4bb1-b2cb-d9877dc1deac,18314497122,Rejected,,Swearing,Negative,NoHateSpeech,you got me you fuck,,
chunk_1_46.mp3,c8e47e68-999e-40ad-bb21-7c888990daf4,18314518763,Approved,Discriminatory Content,Discriminatory Content-[Restored],Negative,NoHateSpeech,to torture and bring death upon true believers,,
chunk_1_51.mp3,1f0a6053-6707-4a11-b327-72b8f7e614c7,18314520071,Rejected,,Sexual Content,Negative,NoHateSpeech,offering to buy her a horse in exchange for a sexual i used it a whore and i was like i'm so confused on so many levels no um i'll buy you a pony,,Roblox does not permit sexual content in any form on the platform.
chunk_2_13.mp3,8da3481f-8b59-46eb-88c0-c439be1b8db3,18314520361,Approved,,,Negative,NoHateSpeech,,,
chunk_2_14.mp3,ce74add8-210e-4314-8120-c0b727c532e9,18314520095,Approved,,,Negative,NoHateSpeech,,,
chunk_3_29.mp3,3ddc135c-a29b-4867-ab7b-2e082ba39b91,18314520525,Approved,,,Negative,NoHateSpeech,,,
chunk_3_34.mp3,f2280207-1a38-4ed2-a2a7-a50977b861a7,18314520146,Rejected,,Swearing,Negative,NoHateSpeech,,,
chunk_1_3.mp3,35d7a249-d9a1-46c9-9865-49fc606081e9,18314939955,Approved,,,"Positive,Negative",HateSpeech,,,
chunk_1_6.mp3,792036d7-d70e-4c55-a0d3-d65758669b23,18314939474,Approved,,,"Positive,Negative",HateSpeech,,,
chunk_1_8.mp3,69855b55-7392-4c64-ba10-eb609dd05c92,18314939683,Approved,,,"Positive,Negative",HateSpeech,,,
chunk_5_5.mp3,990c35a2-1aec-4c4e-8ed3-3b539efd618c,18314938382,Approved,,,"Positive,Negative",HateSpeech,,,
chunk_9_11.mp3,92b854f6-da93-4751-a948-b7999c207da8,18314937082,Approved,,,Positive,HateSpeech,,,
chunk_3_8.mp3,f99bd196-5d31-4375-9f8c-7eb6acc140e5,18314939942,Approved,,,"Positive,Negative",HateSpeech,,,
chunk_1_9.mp3,d4accb79-781f-45c5-b660-93866821b0da,18314939639,Approved,,,"Positive,Negative",HateSpeech,,,
chunk_11_5.mp3,6054bc68-5e0f-4030-b8c9-ad3f274a4504,18314937406,Approved,,,"Positive,Negative",HateSpeech,,,
chunk_1_2.mp3,58a8dc95-3e88-45f6-8835-7d8473dec327,18314938427,Approved,,,"Positive,Negative",HateSpeech,,,
chunk_1_4.mp3,945a1acb-01ee-411e-86f7-72dbac4d0ffb,18314938390,Approved,,,"Positive,Negative",HateSpeech,,,
chunk_1_7.mp3,354601ae-3764-479b-8c6b-d1fe8188caaf,18314939812,Rejected,,Illegal and Regulated Content,Negative,HateSpeech,,,"Roblox does not permit illegal or regulated content in any form. This can include alcohol, drugs, tobacco products, or bomb or weapon making."
chunk_1_9.mp3,20a8ac06-62ac-46bb-9f24-242816e1e0cf,18314939670, Approved,,,Negative,HateSpeech,,,
chunk_2_11.mp3,9edcbaa6-648e-4990-be27-7724aa22a64e,18314939837,Rejected,,Disruptive Audio,Negative,HateSpeech,,,
chunk_3_2.mp3,45b7aaf0-1af7-4494-865b-68173d03f04d,18314938652, Approved,,,Negative,HateSpeech,,,
chunk_3_4.mp3,f796d113-9113-4c7e-a5b3-b08589537de0,18314938691,Approved,,,Negative,HateSpeech,,,
chunk_8_9.mp3,fb50da0a-6e88-42b9-8558-6dd25bdaa14b,18314940124,Approved,,,Negative,HateSpeech,,,
